target,source
Toy Story,Family
Jumanji,Family
Grumpier Old Men,Comedy
Waiting to Exhale,Romance
Father of the Bride Part II,Comedy
Heat,Thriller
Sabrina,Romance
Tom and Huck,Family
Sudden Death,Thriller
GoldenEye,Thriller
The American President,Romance
Dracula: Dead and Loving It,Horror
Balto,Adventure
Nixon,Drama
Cutthroat Island,Adventure
Casino,Crime
Sense and Sensibility,Romance
Four Rooms,Comedy
Ace Ventura: When Nature Calls,Adventure
Money Train,Crime
Get Shorty,Crime
Copycat,Thriller
Assassins,Thriller
Powder,Thriller
Leaving Las Vegas,Romance
Othello,Drama
Now and Then,Family
Persuasion,Romance
The City of Lost Children,Adventure
Shanghai Triad,Crime
Dangerous Minds,Crime
Twelve Monkeys,Mystery
Wings of Courage,Adventure
Babe,Family
Carrington,Romance
Dead Man Walking,Drama
Across the Sea of Time,Family
It Takes Two,Romance
Clueless,Romance
"Cry, the Beloved Country",Drama
Richard III,War
Dead Presidents,History
Restoration,Romance
Mortal Kombat,Fantasy
To Die For,Thriller
How To Make An American Quilt,Romance
Se7en,Thriller
Pocahontas,Family
When Night Is Falling,Romance
The Usual Suspects,Thriller
Guardian Angel,Drama
Mighty Aphrodite,Romance
Lamerica,Foreign
The Big Green,Family
Georgia,Drama
Kids of the Round Table,Unknown
Home for the Holidays,Romance
The Postman,Romance
The Confessional,Mystery
The Indian in the Cupboard,Fantasy
Eye for an Eye,Thriller
Mr. Holland's Opus,Family
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy
Two If by Sea,Romance
Bio-Dome,Comedy
Lawnmower Man 2: Beyond Cyberspace,Fiction
Two Bits,Family
French Twist,Romance
Friday,Comedy
From Dusk Till Dawn,Crime
Fair Game,Romance
Kicking and Screaming,Romance
Les Miserables,History
Bed of Roses,Romance
Big Bully,Family
Screamers,Fiction
Nico Icon,Documentary
The Crossing Guard,Thriller
The Juror,Thriller
The White Balloon,Drama
Things to Do in Denver When You're Dead,Crime
Antonia's Line,Comedy
Once Upon a Time... When We Were Colored,Drama
Last Summer in the Hamptons,Unknown
Angels and Insects,Romance
White Squall,Drama
Dunston Checks In,Family
Black Sheep,Comedy
Nick of Time,Thriller
The Journey of August King,Drama
Mary Reilly,Romance
Vampire in Brooklyn,Romance
Beautiful Girls,Romance
Broken Arrow,Thriller
A Midwinter's Tale,Comedy
La Haine,Drama
Shopping,Thriller
Heidi Fleiss: Hollywood Madam,Documentary
City Hall,Thriller
Bottle Rocket,Drama
Mr. Wrong,Romance
Unforgettable,Thriller
Happy Gilmore,Comedy
The Bridges of Madison County,Romance
Nobody Loves Me,Family
Muppet Treasure Island,Adventure
Catwalk,Documentary
Headless Body in Topless Bar,Crime
Braveheart,War
Taxi Driver,Drama
Rumble in the Bronx,Thriller
Before and After,Thriller
Margaret's Museum,Drama
Happiness Is in the Field,Comedy
Anne Frank Remembered,Foreign
The Young Poisoner's Handbook,Drama
If Lucy Fell,Romance
Steal Big Steal Little,Drama
Race the Sun,Family
The Boys of St. Vincent,Drama
Boomerang,Romance
Chungking Express,Romance
The Star Maker,Romance
Flirting with Disaster,Romance
The Neverending Story III: Escape from Fantasia,Fantasy
The Silences of the Palace,Drama
Jupiter's Wife,Unknown
Pie in the Sky,Romance
Angela,Drama
Frankie Starlight,War
Jade,Romance
Nueba Yol,Romance
Sonic Outlaws,Documentary
Down Periscope,Comedy
From the Journals of Jean Seberg,Documentary
Man of the Year,Comedy
The Neon Bible,Drama
Target,Unknown
Up Close & Personal,Romance
The Birdcage,Comedy
Virgin Mary,Drama
The Brothers McMullen,Romance
Bad Boys,Thriller
The Amazing Panda Adventure,Family
The Basketball Diaries,Crime
An Awfully Big Adventure,Comedy
Amateur,Thriller
Apollo 13,Drama
Rob Roy,Adventure
The Addiction,Horror
Batman Forever,Fantasy
Belle de Jour,Romance
Beyond Rangoon,Thriller
Blue in the Face,Comedy
Canadian Bacon,Comedy
Casper,Family
Clockers,Drama
Congo,Thriller
Crimson Tide,Drama
Crumb,Documentary
Desperado,Crime
Devil in a Blue Dress,Thriller
Die Hard: With a Vengeance,Thriller
The Doom Generation,Drama
Feast of July,Crime
First Knight,Romance
Free Willy 2 - The Adventure Home,Adventure
Hackers,Drama
Jeffrey,Romance
Johnny Mnemonic,Thriller
Judge Dredd,Fiction
Jury Duty,Drama
Kids,Crime
Living in Oblivion,Comedy
Lord of Illusions,Thriller
Love & Human Remains,Drama
Mad Love,Romance
Mallrats,Comedy
Mighty Morphin Power Rangers: The Movie,Fantasy
Moonlight and Valentino,Romance
Mute Witness,Foreign
Nadja,Thriller
The Net,Action
